file,line,type,library,icon_name,context,label
index.html,160,FontAwesome,FontAwesome (CSS class),fa-angle-left,"<i class=""fa fa-angle-left"" aria-hidden=""true""></i>",angle left
index.html,202,FontAwesome,FontAwesome (CSS class),fa-angle-up,"<i class=""fa fa-angle-up"" aria-hidden=""true""></i>",angle up
index.html,219,FontAwesome,FontAwesome (CSS class),fa-times,"<button class=""close"" aria-label=""close""><i class=""fa fa-times"" aria-hidden=""true""></i></button>",times
index.html,230,FontAwesome,FontAwesome (CSS class),fa-expand,"<button class=""fullscreen"" aria-expanded=""false"" aria-label=""fullscreen""><i class=""fa fa-expand""",expand
index.html,251,FontAwesome,FontAwesome (CSS class),fa-bars,"<i class=""fa fa-bars right"" aria-label=""show tools""></i>",bars
index.html,261,FontAwesome,FontAwesome (CSS class),fa-external-link,"class=""fa fa-external-link"" aria-hidden=""true""></i></a></li>",external link
index.html,263,FontAwesome,FontAwesome (CSS class),fa-times-circle,"<a href=""#close"" aria-label=""close""><i class=""exit fa fa-3x fa-times-circle"" aria-hidden=""true""></i></a>",times circle
index.html,535,FontAwesome,FontAwesome (CSS class),fa-trash,"<i class=""fa fa-trash""></i>",trash
index.html,545,FontAwesome,FontAwesome (CSS class),fa-floppy-o,"<i class=""fa fa-floppy-o""></i>",floppy o
scripts\components\business-core\ModuleOrientationToggleGroup\ModuleOrientationToggleGroup.tsx,4,SVG_import,Local SVG file,Portrait.svg,,portrait
scripts\components\business-core\ModuleOrientationToggleGroup\ModuleOrientationToggleGroup.tsx,5,SVG_import,Local SVG file,Landscape.svg,,landscape
scripts\components\business-core\ModuleOrientationToggleGroup\ModulesOrientationToggleGroup.tsx,4,SVG_import,Local SVG file,Portrait.svg,,portrait
scripts\components\business-core\ModuleOrientationToggleGroup\ModulesOrientationToggleGroup.tsx,5,SVG_import,Local SVG file,Landscape.svg,,landscape
scripts\components\Compass\styled-components.ts,2,SVG_import,Local SVG file,compass.svg,,compass
scripts\components\core\Collapsible\Collapsible.tsx,2,ReactIcons,react-icons/fa,FaChevronRight,,chevron right
scripts\components\core\Collapsible\Collapsible.tsx,2,ReactIcons,react-icons/fa,FaChevronDown,,chevron down
scripts\components\core\DraggableWidgets\DraggableWidgetPopover.tsx,17,FontAwesome,FA component (string prop),fa-ellipsis-v,"<FA icon=""fa-ellipsis-v"" />",ellipsis v
scripts\components\core\DraggableWidgets\components\DraggableButton.tsx,3,ReactIcons,react-icons/pi,PiDotsSixVerticalBold,,dots six vertical bold
scripts\components\core\DraggableWidgets\components\ExpandCollapseButton.tsx,2,ReactIcons,react-icons/fa6,FaAngleUp,,angle up
scripts\components\core\DraggableWidgets\components\ExpandCollapseButton.tsx,3,ReactIcons,react-icons/fa6,FaAngleDown,,angle down
scripts\components\core\DraggableWidgets\components\ResizeWidthHeight\ResizeWidthHeight.tsx,3,ReactIcons,react-icons/gi,GiResize,,gi resize
scripts\components\core\Dropdowns\DropdownModules.tsx,196,FontAwesome,FA component (string prop),fa-star,"icon=""fa-star""",star
scripts\components\core\Dropdowns\DropdownModules.tsx,195,FontAwesome,FontAwesome (CSS class),fa-fw,"className=""fa-fw""",fw
scripts\components\core\Dropdowns\SelectItems.stories.tsx,22,FontAwesome,FA component (string prop),fa-file-o,"icon: <FA icon=""fa-file-o"" />,",file o
scripts\components\core\Dropdowns\SelectItems.stories.tsx,29,FontAwesome,FA component (string prop),fa-clone,"icon: <FA icon=""fa-clone"" />,",clone
scripts\components\core\Dropdowns\SelectItems.stories.tsx,5,SVG_import,Local SVG file,drone.svg,,drone
scripts\components\core\FA\FA.stories.tsx,13,FontAwesome,FA component (string prop),fa-home,"export const Home = (args) => <FA {...args} icon=""fa-home"" />;",home
scripts\components\core\FA\FA.stories.tsx,14,FontAwesome,FA component (string prop),fa-trash,"export const Trash = (args) => <FA {...args} icon=""fa-trash"" />;",trash
scripts\components\core\FA\FA.stories.tsx,16,FontAwesome,FA component (string prop),fa-star,"<FA {...args} icon=""fa-star"" style={{ fontSize: 24, color: 'gold' }} />",star
scripts\components\core\ImageCardHorizontal\ImageCardHorizontal.tsx,85,FontAwesome,FA component (string prop),fa-image,"<FA icon=""fa-image"" style={{ fontSize: 17, color: '#ccc' }} />",image
scripts\components\core\ImageCardHorizontal\ImageCardHorizontal.tsx,106,FontAwesome,FA component (string prop),fa-close,"<FA icon=""fa-close"" />",close
scripts\components\core\ImageCardHorizontal\ImageCardHorizontal.tsx,115,FontAwesome,FA component (string prop),fa-image,"icon=""fa-image""",image
scripts\components\core\Info\Info.tsx,3,ReactIcons,react-icons/fi,FiAlertTriangle,,alert triangle
scripts\components\core\Info\Info.tsx,4,ReactIcons,react-icons/md,MdLightbulbOutline,,lightbulb outline
