file,line,type,library,icon_name,context,label
assets\icons\index.ts,3,Asset_registry_entry,Asset registry definition,add_circle → add_circle.png,"add_circle: require('./add_circle.png'),",add circle → add circle.png
assets\icons\index.ts,4,Asset_registry_entry,Asset registry definition,add_circleActive → add_circle_active.png,"add_circleActive: require('./add_circle_active.png'),",add circle active → add circle active.png
assets\icons\index.ts,5,Asset_registry_entry,Asset registry definition,alarm → alarm.png,"alarm: require('./alarm.png'),",alarm → alarm.png
assets\icons\index.ts,6,Asset_registry_entry,Asset registry definition,area → area.png,"area: require('./area.png'),",area → area.png
assets\icons\index.ts,7,Asset_registry_entry,Asset registry definition,arrows → arrows.png,"arrows: require('./arrows.png'),",arrows → arrows.png
assets\icons\index.ts,8,Asset_registry_entry,Asset registry definition,arrows_h → arrows_h.png,"arrows_h: require('./arrows_h.png'),",arrows h → arrows h.png
assets\icons\index.ts,9,Asset_registry_entry,Asset registry definition,arrows_v → arrows_v.png,"arrows_v: require('./arrows_v.png'),",arrows v → arrows v.png
assets\icons\index.ts,10,Asset_registry_entry,Asset registry definition,arrow_down → arrow_down.png,"arrow_down: require('./arrow_down.png'),",arrow down → arrow down.png
assets\icons\index.ts,11,Asset_registry_entry,Asset registry definition,arrow_down_gray → arrow_down_gray.png,"arrow_down_gray: require('./arrow_down_gray.png'),",arrow down gray → arrow down gray.png
assets\icons\index.ts,12,Asset_registry_entry,Asset registry definition,arrow_left → arrow_left.png,"arrow_left: require('./arrow_left.png'),",arrow left → arrow left.png
assets\icons\index.ts,13,Asset_registry_entry,Asset registry definition,arrow_right → arrow_right.png,"arrow_right: require('./arrow_right.png'),",arrow right → arrow right.png
assets\icons\index.ts,14,Asset_registry_entry,Asset registry definition,arrow_up → arrow_up.png,"arrow_up: require('./arrow_up.png'),",arrow up → arrow up.png
assets\icons\index.ts,15,Asset_registry_entry,Asset registry definition,auto_service → auto_service.png,"auto_service: require('./auto_service.png'),",auto service → auto service.png
assets\icons\index.ts,16,Asset_registry_entry,Asset registry definition,azimuth → azimuth.png,"azimuth: require('./azimuth.png'),",azimuth → azimuth.png
assets\icons\index.ts,17,Asset_registry_entry,Asset registry definition,back_white → back_white.png,"back_white: require('./back_white.png'),",back white → back white.png
assets\icons\index.ts,18,Asset_registry_entry,Asset registry definition,bolt → bolt.png,"bolt: require('./bolt.png'),",bolt → bolt.png
